id,FT0000,FT0001,FT0002,FT0003,FT0004,FT0005,FT0006,FT0007,FT0008,FT0009
7e79f1a9cb10504dd2fc569d84f2a346,0.005885,0.005885,0.005884,0.005884,0.005885,0.005883,0.005883,0.005884,0.947042,0.005886
4a2f52a31466509462042dacd3d66de7,0.050000,0.050000,0.050000,0.050000,0.050000,0.050000,0.050000,0.050000,0.550000,0.050000
f22f6ec19360a7bcc7e0f6c76912c88b,0.490890,0.006253,0.165297,0.006250,0.006252,0.006251,0.006251,0.300054,0.006252,0.006251
6382e9933644b1751511264ec8194ef5,0.002565,0.002565,0.002565,0.002564,0.066572,0.002564,0.002564,0.392209,0.523267,0.002564
638c2f2961777b10009d7fdebae561bc,0.010001,0.010004,0.010005,0.010000,0.519956,0.010001,0.010001,0.400028,0.010001,0.010002
fdd2536131a3fa4add42174bd06a44a9,0.002174,0.002174,0.002174,0.315615,0.002174,0.002174,0.666992,0.002174,0.002174,0.002174
96f671e208c0b3fa2c16bd75d2a2c623,0.963996,0.004000,0.004001,0.004000,0.004001,0.004001,0.004000,0.004000,0.004000,0.004000
e61ab803407cfa8089f30e98ec25e7ff,0.004762,0.004762,0.004762,0.004762,0.427188,0.460353,0.079124,0.004762,0.004762,0.004762
c5721a893d7f281142d8072106677b69,0.003572,0.003572,0.003572,0.967856,0.003572,0.003572,0.003572,0.003572,0.003572,0.003572
c046e0825a0514c069bc9324bea3c0c8,0.016672,0.016670,0.349039,0.016667,0.016669,0.016668,0.016674,0.517602,0.016669,0.016670
d53220af27428bfec4de2f6a2201cb5d,0.001923,0.001923,0.001923,0.001923,0.001923,0.001923,0.982691,0.001923,0.001923,0.001923
99afaf8df3fbda5c1555b7428368192e,0.485315,0.000479,0.121108,0.072278,0.046518,0.000479,0.000479,0.272388,0.000479,0.000479
c4286223103f8eb6a63778aa53aaeda0,0.004348,0.960867,0.004348,0.004348,0.004348,0.004348,0.004348,0.004348,0.004348,0.004348
b4a163208a8f677aa35f363922f78a87,0.003030,0.003030,0.003030,0.972726,0.003031,0.003030,0.003031,0.003030,0.003030,0.003030
6f023f18cf62802daa33560078722d71,0.003125,0.003125,0.003125,0.971874,0.003125,0.003125,0.003125,0.003125,0.003125,0.003125
f1219276b600fd58368320fea58124a3,0.012502,0.887473,0.012502,0.012510,0.012504,0.012500,0.012501,0.012503,0.012503,0.012502
1bd6ecbeb790631e368bf2bbd9d65fc0,0.323480,0.003704,0.003705,0.135814,0.333353,0.003704,0.003705,0.185125,0.003705,0.003706
13012b421b80ee961ae98f0dc6dabf70,0.003226,0.003226,0.003226,0.970966,0.003226,0.003226,0.003226,0.003226,0.003226,0.003226
9ab3310679019597edeb0a7817e91d6b,0.020001,0.020000,0.020000,0.220000,0.020000,0.020000,0.020001,0.020000,0.619997,0.020000
fbbb27a6c006e413ffd11f7b8cfa05bf,0.025000,0.025001,0.275002,0.025000,0.025000,0.025000,0.263976,0.286021,0.025000,0.025000
5db6a74cc9a70f7bed21dbaccefb2bc6,0.002381,0.002381,0.002381,0.002382,0.978567,0.002381,0.002382,0.002381,0.002381,0.002381
215c2b210defaa96c82aa7fc914b3aa3,0.589370,0.000834,0.061397,0.034048,0.000833,0.153432,0.000834,0.157586,0.000833,0.000833
bbc5bb42d232a12c1c4a36d19ea3edc3,0.003847,0.003848,0.572746,0.003847,0.003847,0.003847,0.003847,0.396479,0.003846,0.003847
5cc2990d426cb95ed5196c84b764719e,0.976313,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632
04eb42ef3e9d0fc01d0d92b9b8553c98,0.009091,0.009091,0.009091,0.009091,0.009091,0.190906,0.009091,0.009091,0.736365,0.009093
38f735db0957f82fa85a3c489e1a2f48,0.492332,0.003572,0.003572,0.003573,0.423873,0.058789,0.003572,0.003573,0.003572,0.003572
78ebb5ecfad4253875e79be72890671e,0.016669,0.016667,0.516639,0.350000,0.016667,0.016667,0.016668,0.016671,0.016667,0.016685
fa057a10cab66291f75325a615a49022,0.002041,0.002041,0.002041,0.027976,0.002041,0.002041,0.002041,0.002041,0.002041,0.955696
7a9edcb72e9324646036b61eb8bca34e,0.011115,0.011112,0.011113,0.180040,0.011112,0.011112,0.011114,0.011114,0.011111,0.731056
7953cb8c862e491e814ff879c6b15d70,0.050000,0.050000,0.050000,0.050000,0.050000,0.050000,0.050000,0.050000,0.550000,0.050000
fb55098867b9ca9e700e98d01132440b,0.002174,0.002174,0.002174,0.320254,0.002174,0.002174,0.662353,0.002174,0.002174,0.002174
c8ed583f577be835622691017a4510ac,0.002084,0.002084,0.002084,0.183755,0.002084,0.002083,0.447756,0.353904,0.002084,0.002084
6ba02759b7b6b1a9d63e52cdb987790f,0.002041,0.002041,0.002041,0.027976,0.002041,0.002041,0.002041,0.002041,0.002041,0.955697
4ec81e7c61d37a22e6312c46f6470d0b,0.001667,0.001667,0.984998,0.001667,0.001667,0.001667,0.001667,0.001667,0.001667,0.001667
8b5272272cd2f0c14a87ea80aee687b4,0.050000,0.050000,0.050000,0.050000,0.050000,0.050000,0.050000,0.050000,0.550000,0.050000
599200400fb7c5daa538790980080878,0.005883,0.820778,0.132157,0.005886,0.005883,0.005883,0.005884,0.005883,0.005882,0.005883
c67fcbd8cd0713809df3d2fe3335471f,0.050000,0.050000,0.550000,0.050000,0.050000,0.050000,0.050000,0.050000,0.050000,0.050000
4aec1e509de877a3096de291dc7f9233,0.007143,0.007143,0.007143,0.007144,0.007143,0.007143,0.007144,0.007143,0.935709,0.007143
f622b49d195f8965b1e98af823f93fac,0.003572,0.003572,0.003572,0.967856,0.003572,0.003572,0.003572,0.003572,0.003572,0.003572
19c7a886601c8285b7b3e3a3432f909a,0.003031,0.003031,0.003031,0.939117,0.003031,0.003030,0.003030,0.003031,0.003030,0.036637
3be96871d2b33fe1e657e5a9d21d098f,0.003030,0.003030,0.003030,0.937984,0.003030,0.003031,0.037772,0.003030,0.003030,0.003030
c9f28a68a28d9de071592a9a48b0773f,0.003572,0.003572,0.003572,0.003572,0.003572,0.830511,0.003572,0.003572,0.003572,0.140916
11f8689394e4182e414d04b077271dd6,0.003449,0.003449,0.003449,0.003449,0.003450,0.003449,0.003449,0.003449,0.968959,0.003449
9c63d1b3a539b205abadab3201694fae,0.002703,0.002703,0.176550,0.002703,0.002703,0.002703,0.002703,0.002703,0.002703,0.801824
112f0151041efbb1618df1a528c0eb25,0.001923,0.001923,0.001923,0.001923,0.001923,0.001923,0.982691,0.001923,0.001923,0.001923
756f2b67d05f8955da2d60063d683969,0.261662,0.003227,0.003226,0.003226,0.003226,0.003227,0.063421,0.003226,0.227697,0.427861
0090bd168e80e08b19eff82d2610ce33,0.003125,0.003125,0.003125,0.971874,0.003125,0.003125,0.003125,0.003125,0.003125,0.003125
64a58812d02366049f33602229d954f6,0.050000,0.050000,0.050000,0.050000,0.050000,0.050000,0.050000,0.050000,0.550000,0.050000
30b551ca6d1c9928f54d6fabebd02f7e,0.004002,0.004002,0.004001,0.004000,0.004001,0.004000,0.004001,0.004002,0.472434,0.495557
cae6e0ba534910bb4305f0e435f744d8,0.000617,0.000617,0.000617,0.060900,0.876716,0.000617,0.058062,0.000617,0.000617,0.000618
f2eafbeced124848beaed2a2aa27dc69,0.002128,0.002128,0.002128,0.304146,0.002128,0.002128,0.678832,0.002128,0.002128,0.002128
17bbc976b6b594d2fe787202d1137dc5,0.460664,0.007145,0.007144,0.007147,0.007144,0.007143,0.007147,0.263788,0.007143,0.225536
4043b985896e6027c63d63f3a2501369,0.014286,0.014288,0.014286,0.110493,0.518617,0.014287,0.014286,0.014287,0.270885,0.014286
a81f0f2c98d9e04edf1fa969804eb959,0.003704,0.003704,0.003704,0.966665,0.003704,0.003704,0.003704,0.003704,0.003704,0.003704
5c455fe660e0181e43e4f0f275572478,0.006251,0.943745,0.006250,0.006250,0.006251,0.006250,0.006251,0.006251,0.006251,0.006250
