id,X.sales,cdate,description,version,symbol,ext,fee1,fee2
7e79f1a9cb10504dd2fc569d84f2a346,2,2019-05-23T10:57:15.885494,77NPo YarwC crgSZ LhdfV Csin3 mSGTR VS9BX N1DUC RkasV 7usbT GloH8 GYGlh 77NPo H2VPe EDiBa UPibg,3,gYvlO,.png,350.0,600.0
4a2f52a31466509462042dacd3d66de7,1,2019-04-26T22:13:10.961356,,3,Yjv90,.png,250.0,500.0
f22f6ec19360a7bcc7e0f6c76912c88b,12,2020-01-01T13:22:57.777065,XSobU zQP6y XJBCj QIpLx 1ca3J b9zM8 mSGTR uSuuw 5XA3y BkQOS oriqp JX1vy TPsuf TWOzs tPc2s,4,,.gif,0.0,250.0
6382e9933644b1751511264ec8194ef5,1,2021-03-29T17:13:21.420427,ANpH8 godH9 GQ5CT e8mNG OJWWA ySZPD xmurx atxKM awe76 MFoLD 7VwEs F7XbJ MFoLD 7VwEs Ekqxt MFoLD ZFQpB 7VwEs q64Jx 4XNNo Oh5hm K4B6l Csin3 fm34L 1s10m RkasV vcypy cnaVC MFoLD kbWyC Csin3 9yB8Z godH9 X4byH 2RoPh 9SP2F xQXDc CpIJH,None,22GDK,.jpg,0.0,250.0
638c2f2961777b10009d7fdebae561bc,1,2019-04-26T22:13:21.494655,q64Jx F7Z1G dwsFd aPRaF r4HAZ egIkq godH9 VDiS6 RjdIB,3,Jt2xJ,.png,250.0,500.0
fdd2536131a3fa4add42174bd06a44a9,1,2020-01-17T08:53:54.660191,TI2xq Csin3 giC2q 0MaQU B58A7 F3KFu sqGZa 116Av UHWIX WpzN6 wpksz pLQe4 RkasV KI8uY WEBsK 77NPo Knvz1 hkrku 77NPo pLQe4 Ob6HM EDiBa LmM6m ty9DP 0Fg9S CbNfV 3jA8K GQ5CT s2iyP dI9wc LmM6m Us01f GQ5CT mi3Lx 0aD8u godH9 77NPo 60Woe F3KFu BAOge pLQe4 pybgV wOnRf 60Woe mi3Lx,3,,.png,750.0,1000.0
96f671e208c0b3fa2c16bd75d2a2c623,1,2019-06-26T01:57:16.840905,q64Jx RZCP6 Dgqwf 7FGGd denGI czs0o guVrz 77NPo QlTru rZSxW 4quDN CV8lU godH9 pcz2p jSXOd Dgqwf 7FGGd jlezo RkasV CV8lU godH9 77NPo denGI H4mSf,3,mnN91,.png,500.0,750.0
e61ab803407cfa8089f30e98ec25e7ff,2,2019-04-26T22:13:21.329117,jSfUk X54TK la7Cw GbOzi kbWyC lXUJ2 oIv2i F3KFu 77NPo PjIBt BkQOS q64Jx rBIEo ryrPH jSK1j uRkGl 0Fg9S GYGlh 5Afll 2bNLa,3,CGpsb,.png,750.0,1000.0
c5721a893d7f281142d8072106677b69,1,2019-04-26T22:13:10.289146,UHWIX Csin3 giC2q uSw1I B58A7 F3KFu coELQ 7OFT1 UHWIX WpzN6 wpksz bpqmM RkasV KI8uY WEBsK 77NPo tfB6W FiSYs 77NPo bpqmM Ob6HM EDiBa LmM6m ty9DP 0Fg9S HBJIq qvnSj,3,71xGC,.png,750.0,1000.0
c046e0825a0514c069bc9324bea3c0c8,1,2021-03-23T21:42:22.909322,q64Jx YfsOW 2Zcro lIMkZ GyZzX,None,22GDK,.gif,0.0,250.0
