X.sales,cdate,fee1,fee2,fi1,fi2,fi3,fi4,fi5,fi6,fi7,FT0000,FT0001,FT0002,FT0003,FT0004,FT0005,FT0006,FT0007,FT0008,FT0009
1.0,18012.0,250.0,500.0,15.0,15.0,140.476667,1.0,77.377778,118.466667,122.182222,1.431616,0.246528,0.221773,0.021017,0.261604,-0.125615,-0.35236,-0.099876,0.615548,0.087185
42.0,18561.0,250.0,500.0,21.0,15.0,167.661376,3.0,205.847619,156.71746,140.419048,0.304097,0.016695,0.008105,0.047117,0.221799,-0.208682,0.006,0.029713,0.439236,-0.400243
3.0,18012.0,750.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.326148,-3.941154,0.64715,-1.572782,-0.178286,-1.132487,0.162826,0.513717,0.194991,0.249291
4.0,18012.0,750.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.196311,0.148855,-1.269554,0.74739,-1.254379,0.265819,-0.108583,3.091442,-1.385208,0.804617
1.0,18012.0,300.0,550.0,15.0,15.0,174.823704,17.0,127.768889,195.306667,201.395556,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1.0,18012.0,750.0,1000.0,15.0,15.0,44.335556,0.0,67.853333,51.822222,31.28,3.832495,-4.306008,-0.620661,1.329155,0.361838,0.665535,0.550491,-0.558175,-0.403091,-0.142906
1.0,18012.0,750.0,1000.0,15.0,15.0,92.03,0.0,104.826667,102.626667,91.062222,3.835436,-4.31906,-0.627173,1.348781,0.367662,0.677973,0.56116,-0.570631,-0.412184,-0.148172
2.0,18879.0,250.0,500.0,15.0,15.0,121.461111,0.0,52.062222,102.675556,76.106667,0.017401,0.017445,0.020156,0.001431,0.01718,0.008143,0.043042,0.003933,0.023323,0.026264
1.0,18148.0,750.0,1000.0,10.0,15.0,108.448333,0.0,39.766667,71.466667,67.56,1.357687,-0.060303,-1.276705,0.499171,-0.139554,-0.518946,0.08811,0.657085,-0.141103,-0.25728
1.0,18214.0,250.0,250.0,15.0,15.0,168.107778,31.0,82.106667,135.302222,200.022222,0.001009,0.001134,-0.002916,-0.002351,-0.003967,0.003081,0.001368,0.002934,0.004983,0.000582
1.0,18012.0,750.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.326148,-3.941154,0.64715,-1.572782,-0.178286,-1.132487,0.162826,0.513717,0.194991,0.249291
