id,X.sales,cdate,description,version,symbol,ext,fee1,fee2,total
a44a5f4c5e13910205404271e750e7bc,1,2019-04-26,uSuuw tPc2s Oh5hm kbWyC oIv2i LmM6m TfoFy gnYRw eJDNj QtHM7 yLerk RlXNy 77NPo CgET7 EDiBa bjmdK TLffG HSGhI 2RoPh YlOQY BkQOS 5XB3e nMZ8P,3,Jt2xJ,.png,250.0,500.0,0.055
5cd06ad38bc1e842b7f3e37210b8e574,42,2020-10-26,zfG9T CWIL9 EPGsh RfQUu EDiBa hdBO7,None,00VCP,.png,250.0,500.0,75.0
239eff19cbe449331801cd1e89c84d2c,3,2019-04-26,UHWIX Csin3 giC2q uSw1I B58A7 F3KFu coELQ 7OFT1 UHWIX WpzN6 wpksz bpqmM RkasV KI8uY WEBsK 77NPo tfB6W FiSYs 77NPo bpqmM Ob6HM EDiBa LmM6m ty9DP 0Fg9S k5pAC UV5Ec,3,71xGC,.png,750.0,1000.0,0.158
5034105b2e14a5d71522ed8054db89ac,4,2019-04-26,UFaHq GbOzi 5oiCZ 0dS4g 6FQLj WEBsK PjIBt gICft xutjU F3KFu 77NPo PjIBt BkQOS q64Jx rBIEo ryrPH jSK1j RkasV 5oiCZ godH9 r0FJB em4LR lxJRZ npWi7 nHc8P IZ93C KjHoz giH1x RkasV dJ2j3 n7uCJ,3,CGpsb,.png,750.0,1000.0,1.99
ab4d2c1023ad1b13f937988ea8cae5f4,1,2019-04-26,,3,y1imm,.jpg,300.0,550.0,1.0
f6840301d8d7254504a3f5ff2494275d,1,2019-04-26,y9uu4 Csin3 giC2q 8gvmY B58A7 F3KFu coELQ 7OFT1 UHWIX WpzN6 wpksz eRY98 RkasV KI8uY WEBsK 77NPo tfB6W FiSYs 77NPo eRY98 Ob6HM EDiBa LmM6m ty9DP 0Fg9S oOHZM RkasV KL9v2 OTVyD 0Fg9S,3,SBqi9,.png,750.0,1000.0,0.006
7646126241b9ee0dd51489cc482b7858,1,2019-04-26,y9uu4 Csin3 giC2q 8gvmY B58A7 F3KFu coELQ 7OFT1 UHWIX WpzN6 wpksz eRY98 RkasV KI8uY WEBsK 77NPo tfB6W FiSYs 77NPo eRY98 Ob6HM EDiBa LmM6m ty9DP 0Fg9S 4xNA8 XRNQ7 RkasV KL9v2 OTVyD 0Fg9S,3,SBqi9,.png,750.0,1000.0,0.25
caaa78de21c6115513d60f4104bb24d7,2,2021-09-09,yUDxF cu0Pc UuiOH,3,87MQ9,.png,250.0,500.0,1.25
08176ca2b25f1c6edc85f39b9a989587,1,2019-09-09,W42TF EWqve h3mdU GbOzi WEBsK 4FUBC 0BbSr 7ekHl q64Jx Z13Xj EDiBa JWhlY RkasV 0UG1n jSK1j YVMa0 ryrPH LuhfT fKoRs 0Fg9S 9gRd7 GYGlh nbW5g QzNiM jpVLY gw5tN InW6A uSWcB,3,,.png,750.0,1000.0,1.9425
1091387947cb36d4f539a5ce71716196,1,2019-11-14,LajEC ayAhk z03vG,3,,.png,250.0,250.0,230.0
5de6fe78f9b5dba888d4b850bd3f51aa,1,2019-04-26,UHWIX Csin3 giC2q uSw1I B58A7 F3KFu coELQ 7OFT1 UHWIX WpzN6 wpksz bpqmM RkasV KI8uY WEBsK 77NPo tfB6W FiSYs 77NPo bpqmM Ob6HM EDiBa LmM6m ty9DP 0Fg9S k5pAC UV5Ec,3,71xGC,.png,750.0,1000.0,0.34
baca7942da0d908d1b5f0fafd3cf97d2,1,2021-03-25,L66b8 6SId1 jVXnK jVXnK 0Fg9S 77NPo uQGMr EDiBa uYX8Y lRg4D yXj0k ST8ke RkasV ST8ke lRg4D zdWdN vJgCc LGA9l Kfvf0 CyPct Df4PP GYGlh PYZUE pHEvw atB8t GYGlh 77NPo lRg4D MvPmg GQ5CT ACtmp 0aD8u,None,22GDK,.gif,0.0,250.0,0.015
23b24cf467f1fdc97abd8809251666bb,1,2019-04-26,UHWIX Csin3 giC2q uSw1I B58A7 F3KFu coELQ 7OFT1 UHWIX WpzN6 wpksz bpqmM RkasV KI8uY WEBsK 77NPo tfB6W FiSYs 77NPo bpqmM Ob6HM EDiBa LmM6m ty9DP 0Fg9S UV5Ec OQsrA,3,71xGC,.png,750.0,1000.0,0.65
c3b7a1b3ec463cbba2420483f064c0d4,2,2019-04-26,y9uu4 Csin3 giC2q 8gvmY B58A7 F3KFu coELQ 7OFT1 UHWIX WpzN6 wpksz eRY98 RkasV KI8uY WEBsK 77NPo tfB6W FiSYs 77NPo eRY98 Ob6HM EDiBa LmM6m ty9DP 0Fg9S sqGZa 2JcBT RkasV KL9v2 OTVyD 0Fg9S,3,SBqi9,.png,750.0,1000.0,0.1
50d15cf0af0849bd12d58d89d9942409,1,2019-04-26,y9uu4 Csin3 giC2q 8gvmY B58A7 F3KFu coELQ 7OFT1 UHWIX WpzN6 wpksz eRY98 RkasV KI8uY WEBsK 77NPo tfB6W FiSYs 77NPo eRY98 Ob6HM EDiBa LmM6m ty9DP 0Fg9S sqGZa 799kk RkasV KL9v2 OTVyD 0Fg9S,3,SBqi9,.png,750.0,1000.0,0.32
848c9a40a4b8aa303225ee82cc8f4449,1,2019-04-26,y9uu4 Csin3 giC2q 8gvmY B58A7 F3KFu coELQ 7OFT1 UHWIX WpzN6 wpksz eRY98 RkasV KI8uY WEBsK 77NPo tfB6W FiSYs 77NPo eRY98 Ob6HM EDiBa LmM6m ty9DP 0Fg9S zJVO0 xkQJN RkasV KL9v2 OTVyD 0Fg9S,3,SBqi9,.png,750.0,1000.0,0.74
35f78a9b49fedaa358a6e48646ac7a62,3,2019-04-26,UHWIX Csin3 giC2q uSw1I B58A7 F3KFu coELQ 7OFT1 UHWIX WpzN6 wpksz bpqmM RkasV KI8uY WEBsK 77NPo tfB6W FiSYs 77NPo bpqmM Ob6HM EDiBa LmM6m ty9DP 0Fg9S HBJIq qvnSj,3,71xGC,.png,750.0,1000.0,0.25
1cf186569f6247a3055812ef66de7c36,8,2021-06-08,77NPo PhW4E 0Fg9S HLXVP ZvOb5 Csin3 p6h5k VYYRf IJkVC RkasV IyvRQ fm34L R8Hbk wkSC4 77NPo UM0um Xu0rj EDiBa HIXvB kbWyC 1UXzu QfkZk IyvRQ ImBM0 cGH3u OwWN6 1YsOf A8VbA v9F4I gICft 0Fg9S NZxXL tPc2s q64Jx FXzjd EDiBa QfkZk 78kuk MuDaf bheu1 77NPo 1OCFf QfkZk,None,,.png,500.0,750.0,1.0422
9a0f2ba8653aa7dafc862a7415426f71,2,2019-04-26,UHWIX Csin3 giC2q uSw1I B58A7 F3KFu coELQ 7OFT1 UHWIX WpzN6 wpksz bpqmM RkasV KI8uY WEBsK 77NPo tfB6W FiSYs 77NPo bpqmM Ob6HM EDiBa LmM6m ty9DP 0Fg9S BuHNs,3,71xGC,.png,750.0,1000.0,0.07
6e9f7de2c1abc9782dc85e25d938f5b9,2,2019-04-26,y9uu4 Csin3 giC2q 8gvmY B58A7 F3KFu coELQ 7OFT1 UHWIX WpzN6 wpksz eRY98 RkasV KI8uY WEBsK 77NPo tfB6W FiSYs 77NPo eRY98 Ob6HM EDiBa LmM6m ty9DP 0Fg9S At3cq bLGk6 RkasV KL9v2 OTVyD 0Fg9S,3,SBqi9,.png,750.0,1000.0,0.055
33b2ab3c498b3f4278ac6b5ff70002a1,3,2019-04-26,Ty4TA GbOzi 5oiCZ 4CxDF 7FGGd WEBsK PjIBt gICft OLykX F3KFu 77NPo PjIBt BkQOS q64Jx A0x5d ryrPH jSK1j RkasV 5oiCZ godH9 ziF3q jjwDs 0qZfu XFg5z Ux9a7 iL0ER RkasV JdDLZ bRmPe,3,CGpsb,.png,750.0,1000.0,0.245108662
a706764a6c3e65b5e78583965e7a001f,1,2019-11-14,LajEC 2yGCg CY5Bw dEwKj PZRVV a9EY6 eneIT LajEC ayAhk xfnOL,3,PZRVV,.png,250.0,250.0,0.129
