X.sales,cdate,fee1,fee2,fi1,fi2,fi3,fi4,fi5,fi6,fi7,FT0000,FT0001,FT0002,FT0003,FT0004,FT0005,FT0006,FT0007,FT0008,FT0009
2.0,18039.456433859883,350.0,600.0,15.0,15.0,140.476667,1.0,77.377778,118.466667,122.182222,0.005885,0.005885,0.005884,0.005884,0.005885,0.005883,0.005883,0.005884,0.947042,0.005886
1.0,18012.92582131199,250.0,500.0,21.0,15.0,167.661376,3.0,205.847619,156.71746,140.419048,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05
12.0,18262.557613160476,0.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49089,0.006253,0.165297,0.00625,0.006252,0.006251,0.006251,0.300054,0.006252,0.006251
1.0,18715.71760903272,0.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002565,0.002565,0.002565,0.002564,0.066572,0.002564,0.002564,0.392209,0.523267,0.002564
1.0,18012.925943225175,250.0,500.0,15.0,15.0,174.823704,17.0,127.768889,195.306667,201.395556,0.010001,0.010004,0.010005,0.01,0.519956,0.010001,0.010001,0.400028,0.010001,0.010002
1.0,18278.37077152999,750.0,1000.0,15.0,15.0,44.335556,0.0,67.853333,51.822222,31.28,0.002174,0.002174,0.002174,0.315615,0.002174,0.002174,0.666992,0.002174,0.002174,0.002174
1.0,18073.08144491788,500.0,750.0,15.0,15.0,92.03,0.0,104.826667,102.626667,91.062222,0.963996,0.004,0.004001,0.004,0.004001,0.004001,0.004,0.004,0.004,0.004
2.0,18012.925941309222,750.0,1000.0,15.0,15.0,121.461111,0.0,52.062222,102.675556,76.106667,0.004762,0.004762,0.004762,0.004762,0.427188,0.460353,0.079124,0.004762,0.004762,0.004762
1.0,18012.925813531783,750.0,1000.0,10.0,15.0,108.448333,0.0,39.766667,71.466667,67.56,0.003572,0.003572,0.003572,0.967856,0.003572,0.003572,0.003572,0.003572,0.003572,0.003572
1.0,18709.904431820858,0.0,250.0,15.0,15.0,168.107778,31.0,82.106667,135.302222,200.022222,0.016672,0.01667,0.349039,0.016667,0.016669,0.016668,0.016674,0.517602,0.016669,0.01667
1.0,18072.161394773,0.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001923,0.001923,0.001923,0.001923,0.001923,0.001923,0.982691,0.001923,0.001923,0.001923
107.0,18262.557613160476,0.0,250.0,16.0,15.0,204.572917,90.0,183.8375,160.866667,218.5875,0.485315,0.000479,0.121108,0.072278,0.046518,0.000479,0.000479,0.272388,0.000479,0.000479
1.0,18213.12618114868,0.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004348,0.960867,0.004348,0.004348,0.004348,0.004348,0.004348,0.004348,0.004348,0.004348
1.0,18012.925813531783,750.0,1000.0,15.0,15.0,45.734444,0.0,67.351111,29.52,21.071111,0.00303,0.00303,0.00303,0.972726,0.003031,0.00303,0.003031,0.00303,0.00303,0.00303
1.0,18012.925813531783,750.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003125,0.003125,0.003125,0.971874,0.003125,0.003125,0.003125,0.003125,0.003125,0.003125
1.0,18896.829885959018,750.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012502,0.887473,0.012502,0.01251,0.012504,0.0125,0.012501,0.012503,0.012503,0.012502
1.0,18763.185014182603,0.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32348,0.003704,0.003705,0.135814,0.333353,0.003704,0.003705,0.185125,0.003705,0.003706
1.0,18012.925813531783,750.0,1000.0,15.0,15.0,152.38,0.0,54.333333,171.96,128.293333,0.003226,0.003226,0.003226,0.970966,0.003226,0.003226,0.003226,0.003226,0.003226,0.003226
1.0,18012.92595897631,250.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020001,0.02,0.02,0.22,0.02,0.02,0.020001,0.02,0.619997,0.02
12.0,18262.557613160476,0.0,250.0,15.0,15.0,45.462222,0.0,49.626667,51.88,55.88,0.025,0.025001,0.275002,0.025,0.025,0.025,0.263976,0.286021,0.025,0.025
2.0,18796.961177796344,250.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002381,0.002381,0.002381,0.002382,0.978567,0.002381,0.002382,0.002381,0.002381,0.002381
7.0,18262.557613160476,0.0,250.0,15.0,15.0,147.82,0.0,115.471111,61.324444,159.484444,0.58937,0.000834,0.061397,0.034048,0.000833,0.153432,0.000834,0.157586,0.000833,0.000833
1.0,18012.925943225175,250.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003847,0.003848,0.572746,0.003847,0.003847,0.003847,0.003847,0.396479,0.003846,0.003847
1.0,18894.980730188716,250.0,500.0,11.0,15.0,63.372727,0.0,74.612121,93.745455,35.078788,0.976313,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632,0.002632
