X.sales,cdate,fee1,fee2,fi1,fi2,fi3,fi4,fi5,fi6,fi7,FT0000,FT0001,FT0002,FT0003,FT0004,FT0005,FT0006,FT0007,FT0008,FT0009
1.0,18012.0,250.0,500.0,15.0,15.0,140.476667,1.0,77.377778,118.466667,122.182222,0.257104,0.337259,0.006251,0.006251,0.107293,0.006251,0.006252,0.006251,0.260838,0.006251
42.0,18561.0,250.0,500.0,21.0,15.0,167.661376,3.0,205.847619,156.71746,140.419048,0.033351,0.033351,0.033342,0.033345,0.033342,0.033333,0.699909,0.033347,0.033343,0.033336
3.0,18012.0,750.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003572,0.003572,0.003572,0.003572,0.003572,0.003572,0.003572,0.967855,0.003572,0.003572
4.0,18012.0,750.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.963997
1.0,18012.0,300.0,550.0,15.0,15.0,174.823704,17.0,127.768889,195.306667,201.395556,0.05,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05
1.0,18012.0,750.0,1000.0,15.0,15.0,44.335556,0.0,67.853333,51.822222,31.28,0.003226,0.003226,0.003226,0.003226,0.003226,0.003226,0.003226,0.970966,0.003226,0.003226
1.0,18012.0,750.0,1000.0,15.0,15.0,92.03,0.0,104.826667,102.626667,91.062222,0.003125,0.003125,0.003125,0.003125,0.003125,0.003125,0.003125,0.971873,0.003125,0.003125
2.0,18879.0,250.0,500.0,15.0,15.0,121.461111,0.0,52.062222,102.675556,76.106667,0.366659,0.033339,0.033333,0.033333,0.366658,0.033336,0.033333,0.033333,0.033341,0.033333
1.0,18148.0,750.0,1000.0,10.0,15.0,108.448333,0.0,39.766667,71.466667,67.56,0.003846,0.003847,0.003846,0.837161,0.003846,0.003846,0.003846,0.003847,0.003846,0.132067
1.0,18214.0,250.0,250.0,15.0,15.0,168.107778,31.0,82.106667,135.302222,200.022222,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,0.7,0.033333
1.0,18012.0,750.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003572,0.003572,0.003572,0.003572,0.003572,0.003572,0.003572,0.967855,0.003572,0.003572
1.0,18711.0,0.0,250.0,16.0,15.0,204.572917,90.0,183.8375,160.866667,218.5875,0.005556,0.610709,0.005557,0.288687,0.061706,0.005558,0.005556,0.005556,0.005558,0.005556
