X.sales,cdate,fee1,fee2,fi1,fi2,fi3,fi4,fi5,fi6,fi7,FT0000,FT0001,FT0002,FT0003,FT0004,FT0005,FT0006,FT0007,FT0008,FT0009
2.0,18039.456433859883,350.0,600.0,15.0,15.0,140.476667,1.0,77.377778,118.466667,122.182222,2.15157,-0.00858,0.675988,0.449385,-0.446374,-0.188009,-0.414892,-0.112972,0.059994,-0.598089
1.0,18012.92582131199,250.0,500.0,21.0,15.0,167.661376,3.0,205.847619,156.71746,140.419048,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
12.0,18262.55761316048,0.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333396,0.277121,-0.292012,0.105339,-0.545784,-0.21041,-0.220277,-0.310127,0.303562,0.43092
1.0,18715.71760903272,0.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.643621,0.589308,-1.211652,-0.423755,-0.408378,0.656473,0.514321,0.385938,0.571345,0.098706
1.0,18012.925943225175,250.0,500.0,15.0,15.0,174.823704,17.0,127.768889,195.306667,201.395556,0.546652,0.533914,-0.464122,-0.329787,0.083323,0.083331,0.559332,0.21965,-0.047839,0.143431
1.0,18278.37077152999,750.0,1000.0,15.0,15.0,44.335556,0.0,67.853333,51.822222,31.28,4.494692,-2.486347,0.294103,-2.119248,0.335151,2.990936,-3.082503,0.424581,0.681824,0.453223
1.0,18073.08144491788,500.0,750.0,15.0,15.0,92.03,0.0,104.826667,102.626667,91.062222,2.485497,0.859366,0.243367,-0.007486,-0.229273,0.478939,0.392269,0.596514,-0.390577,0.103145
2.0,18012.925941309222,750.0,1000.0,15.0,15.0,121.461111,0.0,52.062222,102.675556,76.106667,1.473291,0.158615,-0.677046,-0.002202,0.235488,0.013256,-0.387762,0.877554,-0.952207,0.862489
1.0,18012.925813531783,750.0,1000.0,10.0,15.0,108.448333,0.0,39.766667,71.466667,67.56,3.322519,-3.922854,0.63665,-1.538606,-0.173989,-1.100495,0.157094,0.496198,0.187951,0.239235
1.0,18709.904431820854,0.0,250.0,15.0,15.0,168.107778,31.0,82.106667,135.302222,200.022222,0.308215,0.299189,-0.405396,-0.123063,0.124662,-0.209155,0.164612,0.005324,-0.176995,0.098916
1.0,18072.161394773,0.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.895636,0.043266,-1.201775,0.520227,-1.797654,1.628744,-1.176314,-1.930736,1.571154,4.270624
107.0,18262.55761316048,0.0,250.0,16.0,15.0,204.572917,90.0,183.8375,160.866667,218.5875,19.93057,2.139532,-0.000118,-0.670737,2.77459,-2.506673,3.398485,1.149382,2.18703,-0.356139
1.0,18213.12618114868,0.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.570731,0.2565,-0.682991,-0.296933,-0.441123,-0.090264,0.135843,-0.202259,0.403149,0.412835
1.0,18012.925813531783,750.0,1000.0,15.0,15.0,45.734444,0.0,67.351111,29.52,21.071111,3.840334,-4.333896,-0.626313,1.315254,0.377805,0.759395,0.482107,-0.564128,-0.393899,-0.133586
1.0,18012.925813531783,750.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.837682,-4.331002,-0.633976,1.366875,0.37292,0.689907,0.572218,-0.580744,-0.421806,-0.151232
1.0,18896.829885959018,750.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.275625,-0.252461,-0.139099,-0.190838,-0.512194,0.04686,0.112285,-0.316809,0.275361,-0.060505
1.0,18763.185014182603,0.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.351956,-0.410857,-0.614362,0.400232,-0.126007,-0.404737,-0.136918,0.022785,0.349405,0.265258
