X.sales,cdate,fee1,fee2,fi1,fi2,fi3,fi4,fi5,fi6,fi7,FT0000,FT0001,FT0002,FT0003,FT0004,FT0005,FT0006,FT0007,FT0008,FT0009
1.0,18012.0,250.0,500.0,15.0,15.0,140.476667,1.0,77.377778,118.466667,122.182222,0.004168,0.004167,0.653869,0.004167,0.312793,0.004167,0.004167,0.004167,0.004167,0.004167
42.0,18561.0,250.0,500.0,21.0,15.0,167.661376,3.0,205.847619,156.71746,140.419048,0.014289,0.014286,0.871419,0.014286,0.014286,0.014288,0.014286,0.014287,0.014286,0.014286
3.0,18012.0,750.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003572,0.003572,0.003572,0.967856,0.003572,0.003572,0.003572,0.003572,0.003572,0.003572
4.0,18012.0,750.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003126,0.003125,0.003125,0.003125,0.003125,0.897519,0.077479,0.003125,0.003125,0.003125
1.0,18012.0,300.0,550.0,15.0,15.0,174.823704,17.0,127.768889,195.306667,201.395556,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05
1.0,18012.0,750.0,1000.0,15.0,15.0,44.335556,0.0,67.853333,51.822222,31.28,0.003226,0.003226,0.003226,0.970966,0.003226,0.003226,0.003226,0.003226,0.003226,0.003226
1.0,18012.0,750.0,1000.0,15.0,15.0,92.03,0.0,104.826667,102.626667,91.062222,0.003125,0.003125,0.003125,0.971874,0.003125,0.003125,0.003125,0.003125,0.003125,0.003125
2.0,18879.0,250.0,500.0,15.0,15.0,121.461111,0.0,52.062222,102.675556,76.106667,0.025005,0.025003,0.503641,0.025,0.025003,0.025,0.296336,0.025002,0.025,0.025009
1.0,18148.0,750.0,1000.0,10.0,15.0,108.448333,0.0,39.766667,71.466667,67.56,0.003449,0.003448,0.003449,0.003449,0.003449,0.00345,0.003449,0.045683,0.003449,0.926727
1.0,18214.0,250.0,250.0,15.0,15.0,168.107778,31.0,82.106667,135.302222,200.022222,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.775,0.025
1.0,18012.0,750.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003572,0.003572,0.003572,0.967856,0.003572,0.003572,0.003572,0.003572,0.003572,0.003572
1.0,18711.0,0.0,250.0,16.0,15.0,204.572917,90.0,183.8375,160.866667,218.5875,0.003031,0.00303,0.003031,0.003031,0.559744,0.00303,0.003031,0.373484,0.045558,0.003031
1.0,18012.0,750.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003572,0.003572,0.003572,0.967856,0.003572,0.003572,0.003572,0.003572,0.003572,0.003572
2.0,18012.0,750.0,1000.0,15.0,15.0,45.734444,0.0,67.351111,29.52,21.071111,0.003125,0.003125,0.003125,0.971874,0.003125,0.003125,0.003125,0.003125,0.003125,0.003125
1.0,18012.0,750.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003125,0.003125,0.003125,0.971874,0.003125,0.003125,0.003125,0.003125,0.003125,0.003125
1.0,18012.0,750.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003125,0.003125,0.003125,0.971874,0.003125,0.003125,0.003125,0.003125,0.003125,0.003125
3.0,18012.0,750.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003572,0.003572,0.003572,0.967856,0.003572,0.003572,0.003572,0.003572,0.003572,0.003572
8.0,18786.0,500.0,750.0,15.0,15.0,152.38,0.0,54.333333,171.96,128.293333,0.002273,0.002273,0.002273,0.002273,0.002273,0.002273,0.002273,0.979543,0.002273,0.002273
2.0,18012.0,750.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003704,0.003704,0.003704,0.966665,0.003704,0.003704,0.003704,0.003704,0.003704,0.003704
2.0,18012.0,750.0,1000.0,15.0,15.0,45.462222,0.0,49.626667,51.88,55.88,0.003125,0.003125,0.003125,0.971874,0.003125,0.003125,0.003125,0.003125,0.003125,0.003125
3.0,18012.0,750.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003334,0.003333,0.003333,0.003334,0.003333,0.969998,0.003334,0.003333,0.003333,0.003334
