id,FT0000,FT0001,FT0002,FT0003,FT0004,FT0005,FT0006,FT0007,FT0008,FT0009
a44a5f4c5e13910205404271e750e7bc,0.257104,0.337259,0.006251,0.006251,0.107293,0.006251,0.006252,0.006251,0.260838,0.006251
5cd06ad38bc1e842b7f3e37210b8e574,0.033351,0.033351,0.033342,0.033345,0.033342,0.033333,0.699909,0.033347,0.033343,0.033336
239eff19cbe449331801cd1e89c84d2c,0.003572,0.003572,0.003572,0.003572,0.003572,0.003572,0.003572,0.967855,0.003572,0.003572
5034105b2e14a5d71522ed8054db89ac,0.004000,0.004000,0.004000,0.004000,0.004000,0.004000,0.004000,0.004000,0.004000,0.963997
ab4d2c1023ad1b13f937988ea8cae5f4,0.050000,0.050000,0.050000,0.050000,0.550000,0.050000,0.050000,0.050000,0.050000,0.050000
f6840301d8d7254504a3f5ff2494275d,0.003226,0.003226,0.003226,0.003226,0.003226,0.003226,0.003226,0.970966,0.003226,0.003226
7646126241b9ee0dd51489cc482b7858,0.003125,0.003125,0.003125,0.003125,0.003125,0.003125,0.003125,0.971873,0.003125,0.003125
caaa78de21c6115513d60f4104bb24d7,0.366659,0.033339,0.033333,0.033333,0.366658,0.033336,0.033333,0.033333,0.033341,0.033333
08176ca2b25f1c6edc85f39b9a989587,0.003846,0.003847,0.003846,0.837161,0.003846,0.003846,0.003846,0.003847,0.003846,0.132067
1091387947cb36d4f539a5ce71716196,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,0.700000,0.033333
5de6fe78f9b5dba888d4b850bd3f51aa,0.003572,0.003572,0.003572,0.003572,0.003572,0.003572,0.003572,0.967855,0.003572,0.003572
baca7942da0d908d1b5f0fafd3cf97d2,0.005556,0.610709,0.005557,0.288687,0.061706,0.005558,0.005556,0.005556,0.005558,0.005556
23b24cf467f1fdc97abd8809251666bb,0.003572,0.003572,0.003572,0.003572,0.003572,0.003572,0.003572,0.967855,0.003572,0.003572
c3b7a1b3ec463cbba2420483f064c0d4,0.003226,0.003226,0.003226,0.003226,0.003226,0.003226,0.003226,0.970966,0.003226,0.003226
50d15cf0af0849bd12d58d89d9942409,0.003125,0.003125,0.003126,0.003125,0.003125,0.003125,0.003125,0.971873,0.003125,0.003125
848c9a40a4b8aa303225ee82cc8f4449,0.003334,0.003334,0.003334,0.003334,0.003333,0.003333,0.003333,0.969998,0.003333,0.003334
35f78a9b49fedaa358a6e48646ac7a62,0.003846,0.003846,0.003847,0.003846,0.003846,0.003846,0.003846,0.965382,0.003846,0.003846
1cf186569f6247a3055812ef66de7c36,0.002273,0.607560,0.002273,0.002273,0.002273,0.002273,0.002273,0.251041,0.125487,0.002274
9a0f2ba8653aa7dafc862a7415426f71,0.003704,0.003704,0.003704,0.003704,0.003704,0.003704,0.003704,0.966665,0.003704,0.003704
6e9f7de2c1abc9782dc85e25d938f5b9,0.003125,0.003125,0.003125,0.003125,0.003125,0.003125,0.003125,0.971873,0.003125,0.003125
33b2ab3c498b3f4278ac6b5ff70002a1,0.004167,0.004167,0.004167,0.004167,0.004167,0.004167,0.004167,0.004167,0.004167,0.962497
a706764a6c3e65b5e78583965e7a001f,0.010000,0.010000,0.010000,0.010000,0.010002,0.010000,0.010000,0.010000,0.909997,0.010000
4769fef13839d4f744e113fd8594982f,0.002941,0.002941,0.002942,0.002941,0.002941,0.002941,0.002941,0.973528,0.002941,0.002941
0be949d8bd60bfa9eba3bac4ef64f291,0.006250,0.006251,0.006250,0.006251,0.006251,0.006251,0.943745,0.006250,0.006250,0.006250
ac0bbf802e86078d141677ed7889c6aa,0.003226,0.003226,0.003226,0.003226,0.003226,0.003226,0.003226,0.970966,0.003226,0.003226
18c1f08092ded5c9376942d3fbc07617,0.007143,0.007144,0.167316,0.775534,0.007144,0.007143,0.007143,0.007144,0.007144,0.007144
081f3caee521a31f5b155fdb466c98c5,0.003704,0.003704,0.003704,0.003704,0.003704,0.003704,0.003704,0.966665,0.003704,0.003704
4a51ee25b10bed48e67c1e2ac1e46d1d,0.004349,0.880582,0.004348,0.004348,0.004348,0.004348,0.004348,0.004348,0.084632,0.004349
480e59cb2806ce91ff94b361f7328f57,0.003704,0.003704,0.003704,0.003704,0.003704,0.003704,0.003704,0.966665,0.003704,0.003704
cf4b0031637b31acf42e27792f125821,0.004000,0.963994,0.004000,0.004001,0.004000,0.004001,0.004002,0.004000,0.004001,0.004000
97cd468e3733f515d709708d57eecf06,0.050000,0.050000,0.050000,0.050000,0.550000,0.050000,0.050000,0.050000,0.050000,0.050000
5e97e6073fb8727f4c4fddaab6487ea5,0.001852,0.001852,0.001852,0.983332,0.001852,0.001852,0.001852,0.001852,0.001852,0.001852
85f909f751249efbc329469fde829eee,0.003846,0.003846,0.003847,0.003846,0.003846,0.003846,0.003846,0.965382,0.003846,0.003846
ffb1bed878875b62872d84ee9abdd122,0.002083,0.002084,0.002083,0.002084,0.002083,0.981248,0.002084,0.002083,0.002084,0.002084
9676b2336ae3f210e3bf25b2f35699fb,0.003125,0.003125,0.003125,0.003125,0.003125,0.003125,0.003125,0.971873,0.003125,0.003125
1d3e1854e76101ef4af6f0abf64ce671,0.006669,0.831268,0.006668,0.006668,0.115386,0.006669,0.006668,0.006668,0.006668,0.006668
846f33f33286b62b09490e72e7cbcf91,0.774988,0.025003,0.025001,0.025002,0.025001,0.025000,0.025001,0.025002,0.025002,0.025000
7dd5e778f335ad7cedc6a2239c580436,0.003226,0.003226,0.003226,0.003226,0.003226,0.003226,0.003226,0.970966,0.003226,0.003226
43078650d984f509c4ba50d54195e97f,0.050000,0.050000,0.050000,0.050000,0.550000,0.050000,0.050000,0.050000,0.050000,0.050000
8d00b064d25800bb6503853cb5fd64c3,0.003125,0.003125,0.003126,0.003125,0.003125,0.003125,0.003125,0.971873,0.003125,0.003125
